Streaming output truncated to the last 5000 lines.
>49980, d1[0.285] d2[0.308] g[4.556]
>49981, d1[0.503] d2[0.259] g[4.471]
>49982, d1[0.205] d2[0.446] g[4.512]
>49983, d1[0.311] d2[0.371] g[4.507]
>49984, d1[0.470] d2[0.248] g[3.440]
>49985, d1[0.154] d2[0.288] g[6.054]
>49986, d1[0.480] d2[0.252] g[2.932]
>49987, d1[0.423] d2[0.317] g[2.502]
>49988, d1[0.437] d2[0.293] g[3.212]
>49989, d1[0.344] d2[0.375] g[3.336]
>49990, d1[0.327] d2[0.402] g[4.488]
>49991, d1[0.388] d2[0.289] g[4.680]
>49992, d1[0.286] d2[0.335] g[4.838]
>49993, d1[0.293] d2[0.297] g[4.693]
>49994, d1[0.140] d2[0.284] g[5.214]
>49995, d1[0.286] d2[0.450] g[4.446]
>49996, d1[0.449] d2[0.267] g[3.166]
>49997, d1[0.379] d2[0.278] g[4.145]
>49998, d1[0.283] d2[0.367] g[4.371]
>49999, d1[0.261] d2[0.394] g[3.973]
>50000, d1[0.279] d2[0.396] g[3.163]
>50001, d1[0.192] d2[0.312] g[4.803]
>50002, d1[0.530] d2[0.242] g[3.907]
>50003, d1[0.235] d2[0.309] g[5.154]
>50004, d1[0.173] d2[0.307] g[4.899]
>50005, d1[0.419] d2[0.330] g[2.335]
>50006, d1[0.295] d2[0.335] g[4.673]
>50007, d1[0.384] d2[0.312] g[4.085]
>50008, d1[0.353] d2[0.392] g[1.135]
>50009, d1[0.179] d2[0.267] g[5.074]
>50010, d1[0.163] d2[0.262] g[5.760]
>50011, d1[0.204] d2[0.515] g[4.595]
>50012, d1[0.188] d2[0.228] g[5.356]
>50013, d1[0.396] d2[0.228] g[5.038]
>50014, d1[0.362] d2[0.457] g[4.695]
>50015, d1[0.176] d2[0.272] g[5.257]
>50016, d1[0.330] d2[0.332] g[4.285]
>50017, d1[0.138] d2[0.217] g[5.605]
>50018, d1[0.344] d2[0.433] g[4.369]
>50019, d1[0.421] d2[0.325] g[3.905]
>50020, d1[0.333] d2[0.399] g[3.759]
>50021, d1[0.362] d2[0.367] g[1.465]
>50022, d1[0.290] d2[0.296] g[5.174]
>50023, d1[0.299] d2[0.335] g[4.432]
>50024, d1[0.158] d2[0.585] g[5.923]
>50025, d1[0.265] d2[0.226] g[5.265]
>50026, d1[0.351] d2[0.292] g[5.373]
>50027, d1[0.535] d2[0.227] g[4.163]
>50028, d1[0.250] d2[0.392] g[4.632]
>50029, d1[0.560] d2[0.243] g[4.145]
>50030, d1[0.291] d2[0.363] g[4.585]
>50031, d1[0.309] d2[0.430] g[4.557]
>50032, d1[0.315] d2[0.338] g[4.523]
>50033, d1[0.352] d2[0.361] g[2.241]
>50034, d1[0.409] d2[0.271] g[4.295]
>50035, d1[0.312] d2[0.444] g[4.473]
>50036, d1[0.265] d2[0.335] g[7.174]
>50037, d1[0.298] d2[0.366] g[5.064]
>50038, d1[0.258] d2[0.241] g[3.808]
>50039, d1[0.472] d2[0.314] g[4.291]
>50040, d1[0.284] d2[0.328] g[5.981]
>50041, d1[0.453] d2[0.344] g[2.296]
>50042, d1[0.314] d2[0.352] g[5.156]
>50043, d1[0.411] d2[0.343] g[4.497]
>50044, d1[0.184] d2[0.244] g[4.355]
>50045, d1[0.339] d2[0.352] g[4.631]
>50046, d1[0.386] d2[0.411] g[4.676]
